wafer_id,n_dies,n_pos,AP_A,AP_B,delta_AP,AUC_A,AUC_B,delta_AUC,F1_A,F1_B,delta_F1
W_N_0085,425,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.6666666666666666,-0.33333333333333337
W_N_0086,1020,48,0.49482616781690053,0.6023953880609153,0.10756922024401477,0.837491426611797,0.8811514060356651,0.04365997942386812,0.5454545454545454,0.5555555555555556,0.010101010101010166
W_N_0087,974,13,0.4451796016380237,0.5444016628343193,0.09922206119629562,0.8920195309373249,0.9143520371407989,0.022332506203474045,0.47058823529411764,0.47058823529411764,0.0
W_N_0088,1018,48,0.5758160015063702,0.6528121950546144,0.07699619354824416,0.853930412371134,0.877147766323024,0.023217353951890063,0.5882352941176471,0.631578947368421,0.04334365325077394
W_N_0089,1129,27,0.3400264600375448,0.40907005772537763,0.06904359768783286,0.7971701283860994,0.8803522215500437,0.08318209316394432,0.36363636363636365,0.35294117647058826,-0.010695187165775388
W_N_0090,450,11,0.40068688680381487,0.5119081149285093,0.11122122812469443,0.7682750051770553,0.7898115551874094,0.02153655001035415,0.42857142857142855,0.42857142857142855,0.0
W_N_0091,1146,11,0.28354511690158307,0.39327137804806994,0.10972626114648687,0.7986383660392471,0.8561473768522228,0.05750901081297566,0.3076923076923077,0.3076923076923077,0.0
W_N_0092,954,57,0.49681795046337834,0.6094740104532018,0.11265605998982348,0.8512976979796202,0.9044377945979777,0.0531400966183575,0.4383561643835616,0.5555555555555556,0.11719939117199396
W_N_0093,667,43,0.5399164029598027,0.6144392054602531,0.0745228025004504,0.8416070363744782,0.8782796660703638,0.036672629695885584,0.5079365079365079,0.5555555555555556,0.04761904761904767
W_N_0094,889,45,0.5158110361382819,0.5853718091009177,0.06956077296263574,0.8561348077935756,0.9100315955766193,0.05389678778304363,0.5396825396825397,0.5538461538461539,0.014163614163614224
W_N_0095,1119,27,0.2935792595196878,0.37058134320286107,0.0770020836831733,0.7687220187220186,0.8010446343779677,0.03232261565594907,0.3125,0.3125,0.0
W_N_0097,689,44,0.5364407441328188,0.665420737725377,0.12897999359255818,0.8749119097956307,0.9352713178294574,0.06035940803382667,0.4838709677419355,0.5230769230769231,0.03920595533498761
W_N_0098,1092,99,0.5955573845746865,0.6666766255015043,0.07111924092681776,0.8419237694162165,0.8804154332855239,0.03849166386930736,0.5362318840579711,0.5850340136054422,0.048802129547471096
W_N_0100,1378,55,0.5478230378663922,0.6602312914177744,0.11240825355138218,0.8793101078815364,0.9174328317185461,0.03812272383700965,0.5128205128205128,0.6222222222222222,0.10940170940170946
W_N_0101,427,26,0.5845196993331173,0.7342523329852683,0.14973263365215095,0.8969882984845579,0.968923844235565,0.07193554575100713,0.5789473684210527,0.5833333333333334,0.004385964912280715
W_N_0102,701,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
W_N_0103,1099,7,0.17812089798081188,0.24014431009865805,0.06202341211784618,0.8190737833594977,0.9012297226582942,0.0821559392987965,0.25,0.25,0.0
W_N_0104,442,3,0.4598290598290598,0.4118126937510197,-0.04801636607804011,0.9498861047835991,0.8246013667425968,-0.12528473804100237,0.5,0.4,-0.09999999999999998
W_N_0105,1383,25,0.40979990396570226,0.4636679596545764,0.05386805568887415,0.8321354933726068,0.8931369661266568,0.06100147275404999,0.48484848484848486,0.47058823529411764,-0.014260249554367221
W_N_0106,511,42,0.6251432742241031,0.6725664665123854,0.04742319228828229,0.857802822621586,0.9001421464108031,0.04233932378921712,0.5757575757575758,0.6052631578947368,0.029505582137161035
W_N_0107,1385,106,0.6055997822146526,0.6739142066391639,0.0683144244245113,0.8661985336421438,0.8824553380441679,0.01625680440202404,0.5578231292517006,0.6463414634146342,0.08851833416293353
W_N_0109,558,10,0.46296014736605795,0.4338399784651482,-0.029120168900909738,0.8572992700729928,0.8395985401459855,-0.01770072992700733,0.46153846153846156,0.46153846153846156,0.0
W_N_0110,901,49,0.5218029742837775,0.6112475257892541,0.08944455150547659,0.7872472932835105,0.8507952476765354,0.06354795439302485,0.5373134328358209,0.6486486486486487,0.11133521581282779
W_N_0113,1155,5,0.8063694267515924,0.8061728395061729,-0.00019658724541948835,0.9735652173913043,0.9726956521739131,-0.0008695652173912327,0.8888888888888888,0.8888888888888888,0.0
W_N_0114,5200,221,0.5384913097733435,0.6238622399085114,0.08537093013516794,0.8481577376110887,0.8916135552124351,0.043455817601346425,0.5394736842105263,0.6149425287356322,0.07546884452510583
W_N_0115,447,1,0.024390243902439025,0.02631578947368421,0.0019255455712451838,0.9103139013452914,0.9170403587443946,0.006726457399103158,0.0,0.0,0.0
W_N_0116,674,4,0.787037037037037,0.7916666666666667,0.004629629629629761,0.9914179104477612,0.9925373134328358,0.0011194029850746245,0.8571428571428571,0.8571428571428571,0.0
W_N_0117,1146,6,0.3671088229950752,0.4161358425820474,0.0490270195869722,0.8542397660818714,0.9317251461988304,0.07748538011695905,0.5,0.5,0.0
W_N_0118,653,43,0.6741278782328438,0.6917090021061144,0.0175811238732706,0.8776210446054137,0.910102935569958,0.03248189096454435,0.5714285714285714,0.6753246753246753,0.10389610389610393
W_N_0119,446,14,0.6062114189916551,0.6728973355435871,0.06668591655193201,0.898809523809524,0.9206349206349207,0.021825396825396748,0.6666666666666666,0.6363636363636364,-0.030303030303030276
W_N_0120,1353,45,0.563360672822334,0.687046235158519,0.123685562336185,0.8889738362215426,0.9365443425076453,0.04757050628610271,0.6153846153846154,0.6086956521739131,-0.006688963210702337
W_N_0121,448,13,0.5427981267781355,0.5669452871022821,0.024147160324146544,0.8298850574712645,0.8824049513704686,0.052519893899204084,0.631578947368421,0.5454545454545454,-0.0861244019138756
W_N_0123,831,9,0.5602322954822954,0.5567940955195857,-0.003438199962709665,0.9360638010273046,0.9468775344687753,0.010813733441470741,0.5,0.6153846153846154,0.11538461538461542
